CLAVE,LONGITUD,LATITUD,ORGANISMO_DE_CUENCA,SUBTIPO,GRUPO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,ENTEROC_NMP_100mL,OD_PORC,OD_PORC_SUP,OD_PORC_MED,OD_PORC_FON,TOX_D_48_UT,TOX_V_15_UT,TOX_D_48_SUP_UT,TOX_FIS_SUP_15_UT,CALIDAD_DBO,CALIDAD_DQO,CALIDAD_SST,CALIDAD_COLI_FEC,CALIDAD_E_COLI,CALIDAD_ENTEROC,CALIDAD_OD_PORC,CALIDAD_OD_PORC_SUP,CALIDAD_OD_PORC_MED,CALIDAD_OD_PORC_FON,CALIDAD_TOX_D_48,CALIDAD_TOX_V_15,CALIDAD TOX_D_48_SUP,CALIDAD_TOX_FIS_SUP_15,SEMAFORO
DLAGU16,-102.44423,22.14564,6.0,22.0,1.0,1.0,1.0511436909151275,1.0,1.000006360556226,1.0,1.0,1.0,3.2443568613400213,3.661251015434606,1.6943423952975754,1.0,1.0,1.0,1.0,1,3,1,1,1,0,0,1,3,4,0,0,1,1,2
DLAGU17,-102.45887,22.13645,6.0,22.0,1.0,1.0,1.0538172540933475,1.0,1.0000141717656263,1.0,1.0,1.0,3.3443210318882115,3.4638505280259952,1.819985304922851,1.0,1.0,1.0,1.0,1,3,1,1,1,0,0,1,3,4,0,0,1,1,2
DLAGU18,-102.4653,22.18899,6.0,22.0,1.0,1.0126159802416395,1.0640082478550335,1.0,1.0000104521421025,1.0,1.0,1.0,3.5281261196703686,3.668562144597888,1.7207935341660545,1.0,1.0,1.0,1.0,2,3,1,1,1,0,0,1,3,4,0,0,1,1,2
DLAGU20,-102.29445,21.98063,6.0,24.0,2.0,3.4336826647086314,3.5433449245985287,1.1787560641606776,1.89999902917826,1.89999902917826,1.0,1.0,1.0,1.0,1.0,1.6149941429129244,1.0,1.0,1.0,5,5,4,5,5,0,5,0,0,0,3,1,0,0,3
DLAGU21,-102.28905,21.98524,6.0,24.0,2.0,1.3430345103798145,1.3069879602285635,1.043566416492394,1.0899989320960861,1.0899989320960861,1.0,1.6119333950046255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,4,2,5,5,0,4,0,0,0,1,1,0,0,3
DLAGU23,-102.26814,21.90766,6.0,22.0,1.0,1.2769508043521793,1.4496304192077165,1.0446173607498859,1.1210726670156528,1.0835788618936477,1.0,1.0,2.012540308133285,1.0,1.0,1.0,1.0,1.0,1.0,4,4,2,5,5,0,0,3,0,0,0,0,1,1,3
DLAGU24,-102.25658,21.86921,6.0,22.0,1.0,1.1303651291636072,1.1638736959826654,1.0112737656712774,1.0005118573931389,1.0000309100714844,1.0,1.0,4.240773916159082,1.0,1.0,1.0,1.0,1.0,1.2453371592539455,3,4,1,4,1,0,0,2,0,0,0,0,1,2,3
DLAGU27M1,-102.33361,21.84536,6.0,24.0,2.0,1.9362859622188107,1.855068411763678,1.0948716043354105,1.89999902917826,1.89999902917826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,3,5,5,0,5,0,0,0,0,1,0,0,3
DLAGU31,-102.37381,21.77918,6.0,3.0,2.0,1.121954475669181,1.111754940849599,1.0008598634834025,1.0001629567065868,1.0000952595584498,1.0,1.0,1.0,1.0,1.0,1.0,1.0500547151593176,1.0,1.0,3,4,1,3,2,0,5,0,0,0,1,3,0,0,3
DLAGU32M1,-102.34201,22.14338,6.0,25.0,1.0,1.0161003938321875,1.0299124539116151,1.0,1.0000692221937817,1.0000398371679422,1.0,1.0,1.6223575779290575,1.0,1.0,1.0,1.0,1.0,1.0,2,2,1,2,1,0,0,4,0,0,0,0,1,1,2
DLAGU33,-102.37363,21.75618,6.0,24.0,2.0,1.1706161137440758,1.093889248082199,1.0208278043757497,1.0089989223878688,1.007387209514916,1.0,4.17622571692877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,3,2,5,5,0,1,0,0,0,1,1,0,0,3
DLAGU35,-102.40724,21.71666,6.0,24.0,2.0,1.2649355850744277,1.2126269068796196,1.2196473498158193,1.0135904256659047,1.0028853491638086,1.0,3.709990749306198,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,4,4,5,5,0,1,0,0,0,1,1,0,0,3
